Date,Open,High,Low,Close
2022-08-10,1793.988,1807.768,1787.478,1791.528
2022-08-11,1791.548,1799.149,1783.378,1788.828
2022-08-12,1788.814,1802.548,1784.798,1801.778
2022-08-13,1801.778,1801.778,1801.778,1801.778
2022-08-14,1802.308,1802.308,1798.828,1799.015
2022-08-15,1799.015,1801.588,1772.818,1778.384
2022-08-16,1778.474,1783.038,1771.368,1775.488
2022-08-17,1775.498,1782.194,1759.714,1764.865
2022-08-18,1764.865,1772.294,1755.218,1758.378
2022-08-19,1758.355,1758.458,1745.438,1746.498
2022-08-20,1746.498,1746.498,1746.498,1746.498
2022-08-21,1746.298,1747.958,1744.848,1745.538
2022-08-22,1745.558,1748.958,1727.668,1735.084
2022-08-23,1735.084,1753.974,1730.688,1745.868
2022-08-24,1745.848,1755.798,1742.355,1750.908
2022-08-25,1750.898,1765.368,1749.828,1756.255
2022-08-26,1756.255,1758.684,1734.058,1737.338
2022-08-27,1737.338,1737.338,1737.338,1737.338
2022-08-28,1736.068,1738.348,1733.258,1734.654
2022-08-29,1734.664,1745.418,1720.208,1739.348
2022-08-30,1739.398,1740.334,1721.098,1723.198
2022-08-31,1723.198,1726.428,1705.598,1708.818
2022-09-01,1708.794,1708.794,1688.668,1697.018
2022-09-02,1697.034,1717.878,1696.178,1711.278
2022-09-03,1711.278,1711.278,1711.278,1711.278
2022-09-04,1712.598,1713.001,1707.804,1707.995
2022-09-05,1707.995,1715.668,1707.574,1713.928
2022-09-06,1713.928,1726.566,1699.708,1703.374
2022-09-07,1703.408,1719.318,1691.218,1716.528
2022-09-08,1716.498,1728.095,1703.878,1710.558
2022-09-09,1710.578,1729.344,1709.698,1715.938
2022-09-10,1715.938,1715.938,1715.938,1715.938
2022-09-11,1717.058,1720.058,1716.241,1718.335
2022-09-12,1718.335,1735.035,1711.808,1725.155
2022-09-13,1725.144,1731.71,1696.934,1702.064
2022-09-14,1702.064,1707.014,1693.518,1697.384
2022-09-15,1697.404,1697.735,1660.24,1662.355
2022-09-16,1662.355,1680.245,1654.048,1673.898
2022-09-17,1673.898,1673.898,1673.898,1673.898
2022-09-18,1675.958,1679.865,1673.745,1677.848
2022-09-19,1677.818,1678.628,1659.583,1675.635
2022-09-20,1675.615,1679.288,1659.875,1666.281
2022-09-21,1666.281,1687.948,1653.649,1666.938
2022-09-22,1666.928,1684.788,1655.536,1672.605
2022-09-23,1672.605,1675.838,1639.617,1643.598
2022-09-24,1643.598,1643.598,1643.598,1643.598
2022-09-25,1643.458,1645.565,1640.198,1643.925
2022-09-26,1643.935,1649.648,1621.033,1627.508
2022-09-27,1627.495,1642.335,1626.587,1628.718
2022-09-28,1628.748,1662.645,1614.71,1656.095
2022-09-29,1656.095,1665.045,1641.408,1664.455
2022-09-30,1664.495,1675.265,1659.158,1659.978
2022-10-01,1659.978,1659.978,1659.978,1659.978
2022-10-02,1662.198,1665.268,1660.125,1664.085
2022-10-03,1664.005,1702.465,1659.595,1700.918
2022-10-04,1700.918,1729.435,1695.068,1725.424
2022-10-05,1725.434,1727.664,1700.458,1718.248
2022-10-06,1718.264,1725.434,1706.812,1711.825
2022-10-07,1711.825,1714.724,1690.504,1694.458
2022-10-08,1694.458,1694.458,1694.458,1694.458
2022-10-09,1695.464,1699.714,1695.464,1696.568
2022-10-10,1696.583,1697.128,1665.478,1669.998
2022-10-11,1669.998,1683.84,1660.91,1663.955
2022-10-12,1663.955,1678.215,1661.265,1674.438
2022-10-13,1674.422,1682.336,1642.288,1663.345
2022-10-14,1663.265,1671.655,1640.095,1643.618
2022-10-15,1643.618,1643.618,1643.618,1643.618
2022-10-16,1644.068,1647.568,1643.022,1647.398
2022-10-17,1647.345,1668.268,1646.198,1650.568
2022-10-18,1652.408,1657.228,1646.508,1648.017
2022-10-19,1652.157,1653.248,1626.247,1627.018
2022-10-20,1626.907,1645.438,1622.257,1626.828
